GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,VacancyRate
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Occupied,Estimate; Total: - Vacant,
1500000US360290001101,360290001101,"Block Group 1, Census Tract 1.10, Erie County, New York",289,233,56,0.193771626
1500000US360290001102,360290001102,"Block Group 2, Census Tract 1.10, Erie County, New York",0,0,0,#DIV/0!
1500000US360290001103,360290001103,"Block Group 3, Census Tract 1.10, Erie County, New York",364,311,53,0.145604396
1500000US360290001104,360290001104,"Block Group 4, Census Tract 1.10, Erie County, New York",552,464,88,0.15942029
1500000US360290002001,360290002001,"Block Group 1, Census Tract 2, Erie County, New York",477,477,0,0
1500000US360290002002,360290002002,"Block Group 2, Census Tract 2, Erie County, New York",374,308,66,0.176470588
1500000US360290002003,360290002003,"Block Group 3, Census Tract 2, Erie County, New York",625,582,43,0.0688
1500000US360290002004,360290002004,"Block Group 4, Census Tract 2, Erie County, New York",482,451,31,0.064315353
1500000US360290005001,360290005001,"Block Group 1, Census Tract 5, Erie County, New York",558,386,172,0.308243728
1500000US360290005002,360290005002,"Block Group 2, Census Tract 5, Erie County, New York",485,407,78,0.160824742
1500000US360290006001,360290006001,"Block Group 1, Census Tract 6, Erie County, New York",749,734,15,0.020026702
1500000US360290006002,360290006002,"Block Group 2, Census Tract 6, Erie County, New York",652,586,66,0.101226994
1500000US360290006003,360290006003,"Block Group 3, Census Tract 6, Erie County, New York",538,496,42,0.078066914
1500000US360290006004,360290006004,"Block Group 4, Census Tract 6, Erie County, New York",314,272,42,0.133757962
1500000US360290007001,360290007001,"Block Group 1, Census Tract 7, Erie County, New York",207,181,26,0.125603865
1500000US360290007002,360290007002,"Block Group 2, Census Tract 7, Erie County, New York",376,349,27,0.071808511
1500000US360290007003,360290007003,"Block Group 3, Census Tract 7, Erie County, New York",229,229,0,0
1500000US360290007004,360290007004,"Block Group 4, Census Tract 7, Erie County, New York",517,455,62,0.119922631
1500000US360290007005,360290007005,"Block Group 5, Census Tract 7, Erie County, New York",366,342,24,0.06557377
1500000US360290008001,360290008001,"Block Group 1, Census Tract 8, Erie County, New York",341,313,28,0.082111437
1500000US360290008002,360290008002,"Block Group 2, Census Tract 8, Erie County, New York",825,664,161,0.195151515
1500000US360290008003,360290008003,"Block Group 3, Census Tract 8, Erie County, New York",729,680,49,0.067215364
1500000US360290008004,360290008004,"Block Group 4, Census Tract 8, Erie County, New York",223,195,28,0.125560538
1500000US360290009001,360290009001,"Block Group 1, Census Tract 9, Erie County, New York",242,208,34,0.140495868
1500000US360290009002,360290009002,"Block Group 2, Census Tract 9, Erie County, New York",463,431,32,0.069114471
1500000US360290009003,360290009003,"Block Group 3, Census Tract 9, Erie County, New York",437,437,0,0
1500000US360290010001,360290010001,"Block Group 1, Census Tract 10, Erie County, New York",492,350,142,0.288617886
1500000US360290010002,360290010002,"Block Group 2, Census Tract 10, Erie County, New York",369,335,34,0.092140921
1500000US360290010003,360290010003,"Block Group 3, Census Tract 10, Erie County, New York",471,419,52,0.110403397
1500000US360290010004,360290010004,"Block Group 4, Census Tract 10, Erie County, New York",325,285,40,0.123076923
1500000US360290010005,360290010005,"Block Group 5, Census Tract 10, Erie County, New York",984,861,123,0.125
1500000US360290011001,360290011001,"Block Group 1, Census Tract 11, Erie County, New York",713,680,33,0.04628331
1500000US360290011002,360290011002,"Block Group 2, Census Tract 11, Erie County, New York",283,262,21,0.074204947
1500000US360290011003,360290011003,"Block Group 3, Census Tract 11, Erie County, New York",541,480,61,0.112754159
1500000US360290014021,360290014021,"Block Group 1, Census Tract 14.02, Erie County, New York",494,447,47,0.0951417
1500000US360290014022,360290014022,"Block Group 2, Census Tract 14.02, Erie County, New York",409,330,79,0.193154034
1500000US360290014023,360290014023,"Block Group 3, Census Tract 14.02, Erie County, New York",547,489,58,0.106032907
1500000US360290014024,360290014024,"Block Group 4, Census Tract 14.02, Erie County, New York",461,411,50,0.10845987
1500000US360290015001,360290015001,"Block Group 1, Census Tract 15, Erie County, New York",249,203,46,0.184738956
1500000US360290015002,360290015002,"Block Group 2, Census Tract 15, Erie County, New York",610,506,104,0.170491803
1500000US360290016001,360290016001,"Block Group 1, Census Tract 16, Erie County, New York",442,282,160,0.36199095
1500000US360290016002,360290016002,"Block Group 2, Census Tract 16, Erie County, New York",520,364,156,0.3
1500000US360290016003,360290016003,"Block Group 3, Census Tract 16, Erie County, New York",274,140,134,0.489051095
1500000US360290016004,360290016004,"Block Group 4, Census Tract 16, Erie County, New York",521,264,257,0.49328215
1500000US360290017001,360290017001,"Block Group 1, Census Tract 17, Erie County, New York",670,518,152,0.226865672
1500000US360290017002,360290017002,"Block Group 2, Census Tract 17, Erie County, New York",320,252,68,0.2125
1500000US360290019001,360290019001,"Block Group 1, Census Tract 19, Erie County, New York",602,551,51,0.084717608
1500000US360290019002,360290019002,"Block Group 2, Census Tract 19, Erie County, New York",687,625,62,0.090247453
1500000US360290019003,360290019003,"Block Group 3, Census Tract 19, Erie County, New York",329,292,37,0.112462006
1500000US360290023001,360290023001,"Block Group 1, Census Tract 23, Erie County, New York",379,292,87,0.229551451
1500000US360290023002,360290023002,"Block Group 2, Census Tract 23, Erie County, New York",318,296,22,0.06918239
1500000US360290023003,360290023003,"Block Group 3, Census Tract 23, Erie County, New York",316,309,7,0.022151899
1500000US360290023004,360290023004,"Block Group 4, Census Tract 23, Erie County, New York",601,501,100,0.166389351
1500000US360290024001,360290024001,"Block Group 1, Census Tract 24, Erie County, New York",374,259,115,0.307486631
1500000US360290024002,360290024002,"Block Group 2, Census Tract 24, Erie County, New York",338,180,158,0.467455621
1500000US360290024003,360290024003,"Block Group 3, Census Tract 24, Erie County, New York",572,455,117,0.204545455
